timestamp,rule.id,rule.level,rule.groups,agent.name,agent.ip,decoder.name,full_log,syscheck.path,syscheck.event,syscheck.md5_after,scenario,label
2026-06-22T05:41:59.657+0000,510,7,"['ossec', 'rootcheck']",wazuh-manager,,rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:41:59.679+0000,510,7,"['ossec', 'rootcheck']",wazuh-manager,,rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:03.190+0000,503,3,['ossec'],wazuh-agent-victim,10.0.0.5,ossec,ossec: Agent started: 'wazuh-agent-victim->any'.,,,,ddos,0
2026-06-22T05:42:03.339+0000,503,3,['ossec'],attack-agent,10.0.0.4,ossec,ossec: Agent started: 'attack-agent->any'.,,,,ddos,0
2026-06-22T05:42:03.430+0000,503,3,['ossec'],webapp-agent,10.0.0.4,ossec,ossec: Agent started: 'webapp-agent->any'.,,,,ddos,0
2026-06-22T05:42:04.581+0000,510,7,"['ossec', 'rootcheck']",wazuh-agent-victim,10.0.0.5,rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:04.663+0000,510,7,"['ossec', 'rootcheck']",attack-agent,10.0.0.4,rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:04.612+0000,510,7,"['ossec', 'rootcheck']",wazuh-agent-victim,10.0.0.5,rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:04.688+0000,510,7,"['ossec', 'rootcheck']",attack-agent,10.0.0.4,rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:04.706+0000,510,7,"['ossec', 'rootcheck']",webapp-agent,10.0.0.4,rootcheck,Trojaned version of file '/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:04.738+0000,510,7,"['ossec', 'rootcheck']",webapp-agent,10.0.0.4,rootcheck,Trojaned version of file '/usr/bin/diff' detected. Signature used: 'bash|^/bin/sh|file\.h|proc\.h|/dev/[^n]|^/bin/.*sh' (Generic).,,,,ddos,0
2026-06-22T05:42:09.630+0000,502,3,['ossec'],wazuh-manager,,ossec,ossec: Manager started.,,,,ddos,0
2026-06-22T05:42:21.420+0000,5715,3,"['syslog', 'sshd', 'authentication_success']",attack-agent,10.0.0.4,sshd,2026-06-22T05:42:20.578279+00:00 wazuh-agent-attack sshd[1368]: Accepted password for azureuser from 182.253.50.128 port 10549 ssh2,,,,ddos,0
2026-06-22T05:42:21.419+0000,5501,3,"['pam', 'syslog', 'authentication_success']",attack-agent,10.0.0.4,pam,2026-06-22T05:42:20.579375+00:00 wazuh-agent-attack sshd[1368]: pam_unix(sshd:session): session opened for user azureuser(uid=1000) by azureuser(uid=0),,,,ddos,0
2026-06-22T05:42:21.420+0000,5501,3,"['pam', 'syslog', 'authentication_success']",attack-agent,10.0.0.4,pam,2026-06-22T05:42:20.618927+00:00 wazuh-agent-attack (systemd): pam_unix(systemd-user:session): session opened for user azureuser(uid=1000) by azureuser(uid=0),,,,ddos,0
2026-06-22T05:43:05.459+0000,5402,3,"['syslog', 'sudo']",attack-agent,10.0.0.4,sudo,2026-06-22T05:43:04.387709+00:00 wazuh-agent-attack sudo: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/usr/sbin/hping3 -S --flood -V 20.255.63.52,,,,ddos,0
2026-06-22T05:43:05.535+0000,5501,3,"['pam', 'syslog', 'authentication_success']",attack-agent,10.0.0.4,pam,2026-06-22T05:43:04.388453+00:00 wazuh-agent-attack sudo: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000),,,,ddos,0
2026-06-22T05:43:40.737+0000,5715,3,"['syslog', 'sshd', 'authentication_success']",wazuh-manager,,sshd,2026-06-22T05:43:40.386784+00:00 wazuh-manager sshd[2536]: Accepted password for azureuser from 182.253.50.128 port 34222 ssh2,,,,ddos,0
2026-06-22T05:43:40.737+0000,5501,3,"['pam', 'syslog', 'authentication_success']",wazuh-manager,,pam,2026-06-22T05:43:40.387704+00:00 wazuh-manager sshd[2536]: pam_unix(sshd:session): session opened for user azureuser(uid=1000) by azureuser(uid=0),,,,ddos,0
2026-06-22T05:43:40.738+0000,5501,3,"['pam', 'syslog', 'authentication_success']",wazuh-manager,,pam,2026-06-22T05:43:40.419632+00:00 wazuh-manager (systemd): pam_unix(systemd-user:session): session opened for user azureuser(uid=1000) by azureuser(uid=0),,,,ddos,0
2026-06-22T05:46:01.636+0000,5502,3,"['pam', 'syslog']",attack-agent,10.0.0.4,pam,2026-06-22T05:46:00.437357+00:00 wazuh-agent-attack sudo: pam_unix(sudo:session): session closed for user root,,,,ddos,0
2026-06-22T05:46:03.651+0000,5501,3,"['pam', 'syslog', 'authentication_success']",attack-agent,10.0.0.4,pam,2026-06-22T05:46:02.279105+00:00 wazuh-agent-attack sudo: pam_unix(sudo:session): session opened for user root(uid=0) by azureuser(uid=1000),,,,ddos,0
2026-06-22T05:46:03.651+0000,5402,3,"['syslog', 'sudo']",attack-agent,10.0.0.4,sudo,2026-06-22T05:46:02.277549+00:00 wazuh-agent-attack sudo: azureuser : TTY=pts/0 ; PWD=/home/azureuser ; USER=root ; COMMAND=/usr/sbin/hping3 -S --flood -V 20.255.63.52,,,,ddos,0
2026-06-22T05:46:23.658+0000,5502,3,"['pam', 'syslog']",attack-agent,10.0.0.4,pam,2026-06-22T05:46:23.433657+00:00 wazuh-agent-attack sudo: pam_unix(sudo:session): session closed for user root,,,,ddos,0
2026-06-22T05:49:07.047+0000,5710,5,"['syslog', 'sshd', 'authentication_failed', 'invalid_login']",wazuh-manager,,sshd,2026-06-22T05:49:06.878573+00:00 wazuh-manager sshd[2704]: Invalid user  from 45.153.34.112 port 52406,,,,ddos,0
2026-06-22T05:50:15.113+0000,5503,5,"['pam', 'syslog', 'authentication_failed']",wazuh-manager,,pam,2026-06-22T05:50:14.093081+00:00 wazuh-manager sshd[2706]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.153.34.112 ,,,,ddos,0
2026-06-22T05:50:15.113+0000,5710,5,"['syslog', 'sshd', 'authentication_failed', 'invalid_login']",wazuh-manager,,sshd,2026-06-22T05:50:13.927021+00:00 wazuh-manager sshd[2706]: Invalid user ftpuser from 45.153.34.112 port 39572,,,,ddos,0
2026-06-22T05:50:17.116+0000,5710,5,"['syslog', 'sshd', 'authentication_failed', 'invalid_login']",wazuh-manager,,sshd,2026-06-22T05:50:16.322634+00:00 wazuh-manager sshd[2706]: Failed password for invalid user ftpuser from 45.153.34.112 port 39572 ssh2,,,,ddos,0
2026-06-22T05:50:19.118+0000,5503,5,"['pam', 'syslog', 'authentication_failed']",wazuh-manager,,pam,2026-06-22T05:50:17.673587+00:00 wazuh-manager sshd[2711]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.153.34.112  user=root,,,,ddos,0
2026-06-22T05:50:21.120+0000,5760,5,"['syslog', 'sshd', 'authentication_failed']",wazuh-manager,,sshd,2026-06-22T05:50:20.314675+00:00 wazuh-manager sshd[2711]: Failed password for root from 45.153.34.112 port 39578 ssh2,,,,ddos,0
2026-06-22T05:50:21.120+0000,5710,5,"['syslog', 'sshd', 'authentication_failed', 'invalid_login']",wazuh-manager,,sshd,2026-06-22T05:50:21.043178+00:00 wazuh-manager sshd[2713]: Invalid user minecraft from 45.153.34.112 port 39596,,,,ddos,0
